Sort	Tangraph	Unicode	LFW2008	LFW1997	Simple	Complex	Class	Rhyme	Tone	Subrhyme	Initial	Medial	Vowel	Cycle	Nasal/w	Prime	Grade	Variant	Notes
1630	𗷛	U+17DDB	L1629	L1629	ke	2ke2	V	35	2	31	k		e				II		
1631	𗍶	U+17376	L1630	L1630	dzen	2dzen4	VI	43	2	37	dz		e		n		IV		
1632	𗘽	U+1763D	L1631	L1631	thwy	1thwy4	III	31	1	30	th	w	y				IV		
1633	𗙎	U+1764E	L1632	L1632	sew	1sew1	VI	44	1	43	s		e		w		I		
1634	𗌰	U+17330	L1633	L1633	pu	2puq1	I	61	2	51	p		u	q			I		
1635	𗙲	U+17672	L1634	L1634	rir	2rir1	IX	82	2	71	r		i	r			I		
1636	𗹁	U+17E41	L1635	L1635	mar	1mar4	I	87	1	82	m		a	r			IV		
1637	𘄝	U+1811D	L1636	L1636	shwa	1shwa3	VII	19	1	19	sh	w	a				III		
1638	𘄍	U+1810D	L1637	L1637	ba	2ba1	I	17	2	14	b		a				I		
1639	𘄎	U+1810E	L1638	L1638	gi	1gi4	V	11	1	11	g		i				IV		
1640	𘔢	U+18522	L1639	L1639	khwa	1khwaq1	V	66	1	63	kh	w	a	q			I		
1641	𗰛	U+17C1B	L1640	L1640	dze	1dzeq4	VI	64	1	61	dz		e	q			IV		
1642	𗍻	U+1737B	L1641	L1641	ja	2ja3	VII	19	2	16	j		a				III		
1643	𗙍	U+1764D	L1642	L1642	khwy	0khwy2	V	29	0	?	kh	w	y				II		
1644	𗙔	U+17654	L1643	L1643	hwan	1hwan1	VIII	25	1	24	h	w	a		n		I		
1645	𗙣	U+17663	L1644	L1644	ha	1ha3	VIII	19	1	19	h		a				III		Grade III h-!
1646	𗟺	U+177FA	L1645	L1645	py	1pyq4	I	72	1	69	p		y	q			IV		
1647	𘄭	U+1812D	L1646	L1646	tsu	1tsuq4	VI	62	1	59	ts		u	q			IV		
1648	𘘈	U+18608	L1647	L1647	chir	1chir3	VII	84	1	79	ch		i	r			III		
1649	𘘟	U+1861F	L1648	L1648	za	1za1	IX	17	1	17	z		a				I		
1650	𗰥	U+17C25	L1649	L1649	khwa	1khwa1	V	17	1	17	kh	w	a				I		
1651	𗙨	U+17668	L1650	L1650	er	1er4	VIII	79	1	74	Ø		e	r			IV		
1652	𗍽	U+1737D	L1651	L1651	tshwu	1tshwu4	VI	3	1	3	tsh	w	u				IV		
1653	𘆪	U+181AA	L1652	L1652	ta	2ta4	III	20	2	17	t		a				IV		
1654	𘆷	U+181B7	L1653	L1653	tar	1tar4	III	87	1	82	t		a	r			IV		
1655	𘇆	U+181C6	L1654	L1654	tsor	2tsor1	VI	95	2	80	ts		o	r			I		
1656	𘈠	U+18220	L1655	L1655	ke	1keq4	V	64	1	61	k		e	q			IV		
1657	𘆸	U+181B8	L1656	L1656	phi	1phi1	I	8	1	8	ph		i				I		
1658	𘇏	U+181CF	L1657	L1657	phe	1phe4	I	37	1	36	ph		e				IV		
1659	𘆻	U+181BB	L1658	L1658	tshew	2tshew1	VI	44	2	38	tsh		e		w		I		
1660	𘙮	U+1866E	L1659	L1659	lew	2lew1	IX	44	2	38	l		e		w		I		
1661	𘙱	U+18671	L1660	L1660	be	1be'2	I	39	1	38	b		e			'	II		
1662	𗙃	U+17643	L1661	L1661	lin	1lin3	IX	16	1	16	l		i		n		III		
1663	𗹈	U+17E48	L1662	L1662	o	2o1	VIII	51	2	42	Ø		o				I		
1664	𘇣	U+181E3	L1663	L1663	lo	1loq2	IX	74	1	71	l		o	q			II		
1665	𗌱	U+17331	L1664	L1664	ben	2ben4	I	43	2	37	b		e		n		IV		
1666	𗷨	U+17DE8	L1665	L1665	en	2en4	VIII	43	2	37	Ø		e		n		IV	L1605	
1667	𗗶	U+175F6	L1666	L1666	ny	0ny1	III	28	0	?	n		y				I		
1668	𗗶	U+175F6	L1667	L1667	ta	1ta1	III	17	1	17	t		a				I		
1669	𗳩	U+17CE9	L1668	L1668	o	1o1	VIII	51	1	49	Ø		o				I		
1670	𗸬	U+17E2C	L1669	L1669	lhen	1lhen4	IX	43	1	42	lh		e		n		IV		
1671	𘅆	U+18146	L1670	L1670	swe	1swe4	VI	37	1	36	s	w	e				IV		
1672	𘔚	U+1851A	L1671	L1671	ne	1ne4	III	37	1	36	n		e				IV		
1673	𘙁	U+18641	L1672	L1672	se	2se1	VI	34	2	30	s		e				I		
1674	𘗭	U+185ED	L1673	L1673	ju	2juq3	VII	62	2	52	j		u	q			III		
1675	𗶊	U+17D8A	L1674	L1674	ne	2ne4	III	37	2	33	n		e				IV		
1676	𗙻	U+1767B	L1675	L1675	cho	1cho3	VII	53	1	51	ch		o				III		
1677	𘃱	U+180F1	L1676	L1676	dzwew	1dzwew1	VI	44	1	43	dz	w	e		w		I		
1678	𘘖	U+18616	L1677	L1677	li	2liq3	IX	70	2	60	l		i	q			III		
1679	𘔖	U+18516	L1678	L1678	ne	2ne4	III	37	2	33	n		e				IV		
1680	𘘵	U+18635	L1679	L1679	son	1son1	VI	56	1	54	s		o		n		I		
1681	𘙄	U+18644	L1680	L1680	ghwen	2ghwen2	VIII	42	2	36	gh	w	e		n		II		
1682	𘚙	U+18699	L1681	L1681	py	1pyq1	I	71	1	68	p		y	q			I		
1683	𗉬	U+1726C	L1682	L1682	gwe	1gwe4	V	37	1	36	g	w	e				IV		
1684	𗚂	U+17682	L1683	L1683	so	2so4	VI	53	2	44	s		o				IV		
1685	𘈭	U+1822D	L1684	L1684	u	2u1	VIII	1	2	1	Ø		u				I		
1686	𗍠	U+17360	L1685	L1685	khin	1khin4	V	16	1	16	kh		i		n		IV		
1687	𗉵	U+17275	L1686	L1686	vi	2vi3	II	10	2	9	v		i				III		
1688	𗉴	U+17274	L1687	L1687	chhy	2chhy3	VII	30	2	27	chh		y				III		
1689	𗰴	U+17C34	L1688	L1688	gu	1gu1	V	1	1	1	g		u				I		
1690	𗉯	U+1726F	L1689	L1689	ka	1ka2	V	18	1	18	k		a				II		
1691	𘈰	U+18230	L1690	L1690	jen	2jen2	VII	42	2	36	j		e		n		II		
1692	𗗷	U+175F7	L1691	L1691	ni	2ni'4	III	14	2	12	n		i			'	IV		
1693	𗶕	U+17D95	L1692	L1692	an	2an4	VIII	27	2	24	Ø		a		n		IV		
1694	𘅄	U+18144	L1693	L1693	sa	1sa4	VI	20	1	20	s		a				IV		
1695	𗸫	U+17E2B	L1694	L1694	le	1leq3	IX	64	1	61	l		e	q			III		
1696	𗸳	U+17E33	L1695	L1695	lan	1lan1	IX	25	1	24	l		a		n		I		
1697	𘞄	U+18784	L1696	L1696	ly	1ly'3	IX	33	1	32	l		y			'	III		
1698	𘝄	U+18744	L1697	L1697	vir	2vir1	II	82	2	71	v		i	r			I		
1699	𘔍	U+1850D	L1698	L1698	u	1u'4	VIII	7	1	7	Ø		u			'	IV		
1700	𘘀	U+18600	L1699	L1699	shi	1shi'3	VII	14	1	14	sh		i			'	III		
1701	𗟧	U+177E7	L1700	L1700	rir	2rir4	IX	84	2	72	r		i	r			IV		
1702	𗟰	U+177F0	L1701	L1701	lhwi	1lhwi4	IX	11	1	11	lh	w	i				IV		
1703	𗘚	U+1761A	L1702	L1702	tshwu	1tshwu4	VI	3	1	3	tsh	w	u				IV		
1704	𗘓	U+17613	L1703	L1703	hu	1hu4	VIII	3	1	3	h		u				IV		
1705	𗸝	U+17E1D	L1704	L1704	ghon	1ghon1	VIII	56	1	54	gh		o		n		I		
1706	𗸜	U+17E1C	L1705	L1705	khwy	1khwy1	V	28	1	27	kh	w	y				I		
1707	𗍇	U+17347	L1706	L1706	shon	1shon'2	VII	59	1	57	sh		o		n	'	II		
1708	𗗲	U+175F2	L1707	L1707	khi	2khiq2	V	69	2	59	kh		i	q			II		
1709	𘄸	U+18138	L1708	L1708	ner	2ner4	III	79	2	68	n		e	r			IV		
1710	𗳞	U+17CDE	L1709	L1709	lha	1lhaq1	IX	66	1	63	lh		a	q			I		
1711	𗳧	U+17CE7	L1710	L1710	mi	2miq2	I	69	2	59	m		i	q			II		
1712	𘑵	U+18475	L1711	L1711	thy	1thy'4	III	33	1	32	th		y			'	IV		
1713	𘘶	U+18636	L1712	L1712	vo	1vo3	II	53	1	51	v		o				III		
1714	𘈁	U+18201	L1713	L1713	shy	1shy2	VII	29	1	28	sh		y				II		
1715	𗉗	U+17257	L1714	L1714	mi	2mi'1	I	12	2	11	m		i			'	I		
1716	𘅤	U+18164	L1715	L1715	rar	1rar4	IX	87	1	82	r		a	r			IV		
1717	𘝈	U+18748	L1716	L1716	jar	2jar3	VII	87	2	74	j		a	r			III		
1718	𗘘	U+17618	L1717	L1717	ngwyr	2ngwyr1	V	90	2	76	ng	w	y	r			I		
1719	𘄢	U+18122	L1718	L1718	a	1a'3	VIII	21	1	21	Ø		a			'	III		Grade III Ø-!
1720	𘇤	U+181E4	L1719	L1719	ge	1ge'4	V	40	1	39	g		e			'	IV		
1721	𗳟	U+17CDF	L1720	L1720	ven	1ven1	II	41	1	40	v		e		n		I		
1722	𘄷	U+18137	L1721	L1721	ma	1ma4	I	20	1	20	m		a				IV		
1723	𘈬	U+1822C	L1722	L1722	de	2de'4	III	40	2	35	d		e			'	IV		
1724	𘔡	U+18521	L1723	L1723	ne	2ne4	III	37	2	33	n		e				IV		
1725	𘑶	U+18476	L1724	L1724	tse	1tse4	VI	37	1	36	ts		e				IV		
1726	𘘩	U+18629	L1725	L1725	ky	2ky4	V	31	2	28	k		y				IV		
1727	𗶔	U+17D94	L1726	L1726	ba	2ba2	I	18	2	15	b		a				II		
1728	𗟢	U+177E2	L1727	L1727	gi	2gi4	V	11	2	10	g		i				IV		
1729	𘈱	U+18231	L1728	L1728	me	1me'4	I	40	1	39	m		e			'	IV		
1730	𘙕	U+18655	L1729	L1729	ky	2ky4	V	31	2	28	k		y				IV		
1731	𘙠	U+18660	L1730	L1730	kon	1kon2	V	57	1	55	k		o		n		II		
1732	𘙤	U+18664	L1731	L1731	my	2my1	I	28	2	25	m		y				I		
1733	𗌸	U+17338	L1732	L1732	ne	1ne4	III	37	1	36	n		e				IV		
1734	𗶃	U+17D83	L1733	L1733	chi	2chi3	VII	10	2	9	ch		i				III		
1735	𘅇	U+18147	L1734	L1734	ti	1ti4	III	11	1	11	t		i				IV		
1736	𘅇	U+18147	L1735	L1735	kwe	1kwe1	V	34	1	33	k	w	e				I		
1737	𘅫	U+1816B	L1736	L1736	chu	1chu3	VII	2	1	2	ch		u				III		
1738	𗳦	U+17CE6	L1737	L1737	ka	1ka1	V	17	1	17	k		a				I		
1739	𗳫	U+17CEB	L1738	L1738	lhyr	1lhyr4	IX	92	1	86	lh		y	r			IV		
1740	𘔋	U+1850B	L1739	L1739	thwu	2thwu4	III	3	2	3	th	w	u				IV		
1741	𘞀	U+18780	L1740	L1740	na	2na4	III	20	2	17	n		a				IV		
1742	𘔞	U+1851E	L1741	L1741	hon	1hon1	VIII	56	1	54	h		o		n		I		
1743	𘇾	U+181FE	L1742	L1742	ji	2jiq?	VII	?	2	?	j		i	q			?		
1744	𘈂	U+18202	L1743	L1743	lu	2lu3	IX	2	2	2	l		u				III		
1745	𘙅	U+18645	L1744	L1744	ku	1kuq4	V	62	1	59	k		u	q			IV		
1746	𘞋	U+1878B	L1745	L1745	tsen	1tsenq4	VI	65	1	62	ts		e	q	n		IV		
1747	𘗯	U+185EF	L1746	L1746	lor	1lor'1	IX	102	1	94	l		o	r		'	I		
1748	𘈨	U+18228	L1747	L1747	nur	1nur1	III	80	1	75	n		u	r			I		
1749	𗌺	U+1733A	L1748	L1748	vi	2vi1	II	8	2	7	v		i				I		
