𓏍	133cd	W24-W24-W24	
𓏎	133ce	ini W25	
𓏏	133cf	t X1	
𓏐	133d0	X2	
𓏑	133d1	X3	
𓏒	133d2	X4	
𓏓	133d3	X4a	
𓏕	133d5	X5	
𓏖	133d6	X6	
𓏘	133d8	X7	
𓏙	133d9	rdi di X8	
𓏛	133db	mDAt Y1	
𓏜	133dc	Y1\r1	
𓏝	133dd	Y2	
𓏞	133de	zS Y3	
𓏟	133df	Y4	
𓏠	133e0	mn Y5	
𓏡	133e1	ibA Y6	
𓏢	133e2	Y7	
𓏣	133e3	zSSt Y8	
𓏤	133e4	Z1	U+133fa is Z1 used numerically
𓏥	133e5	Z2	
𓏨	133e8	Z2a	
𓏩	133e9	Z2b	
𓏪	133ea	Z3	
𓏫	133eb	Z3a	
