LFW,Simple,Complex,Class,Rhyme,Tone,Subrhyme,Initial,Medial,Vowel,Cycle,Nasal/w,Prime,Grade,Variant,Notes
L0358,kyr,1kyr'4,V,100,1,92,k,,y,r,,',IV,,
L0359,tu,1tuq1,III,61,1,58,t,,u,q,,,I,,
L0360,bu,1bu3,I,2,1,2,b,,u,,,,III,,
L0361,khe,1khe4,V,37,1,36,kh,,e,,,,IV,,
L0362,tu,2tuq4,III,62,2,52,t,,u,q,,,IV,,
L0363,nu,1nu1,III,1,1,1,n,,u,,,,I,,
L0364,tsen,1tsen4,VI,43,1,42,ts,,e,,n,,IV,,
L0365,kwon,1kwon1,V,56,1,54,k,w,o,,n,,I,,
L0366,chhu,2chhu'3,VII,7,2,6,chh,,u,,,',III,,
L0367,me,1me1,I,34,1,33,m,,e,,,,I,,
L0368,du,2du4,III,3,2,3,d,,u,,,,IV,,
L0369,thu,1thu'4,III,7,1,7,th,,u,,,',IV,,
L0370,e,2e3,VIII,36,2,32,Ø,,e,,,,III,,Grade III Ø-!
L0371,on,1on'2,VIII,59,1,57,Ø,,o,,n,',II,,
L0372,shwa,1shwa3,VII,19,1,19,sh,w,a,,,,III,,
L0373,vi,2vi1,II,8,2,7,v,,i,,,,I,,
L0374,lhi,1lhi'4,IX,14,1,14,lh,,i,,,',IV,,
L0375,ka,1ka1,V,17,1,17,k,,a,,,,I,,
L0376,va,1va3,II,19,1,19,v,,a,,,,III,,
L0377,nwe,1nwe4,III,37,1,36,n,w,e,,,,IV,,
L0378,u,2u1,VIII,1,2,1,Ø,,u,,,,I,,
L0379,ngon,2ngon2,V,57,2,48,ng,,o,,n,,II,,
L0380,vi,1vi1,II,8,1,8,v,,i,,,,I,,
L0381,dan,1dan1,III,25,1,24,d,,a,,n,,I,,
L0382,dzi,1dzi3,VI,10,1,10,dz,,i,,,,III,,Grade III dz-!
L0383,li,2li1,IX,8,2,7,l,,i,,,,I,,
L0384,le,1leq3,IX,64,1,61,l,,e,q,,,III,,
L0385,vi,2viq3,II,70,2,60,v,,i,q,,,III,,
L0386,ky,1ky4,V,31,1,30,k,,y,,,,IV,,
L0387,vor,2vor1,II,95,2,80,v,,o,r,,,I,,
L0388,tha,2tha4,III,20,2,17,th,,a,,,,IV,,
L0389,le,2le4,IX,37,2,33,l,,e,,,,IV,L0391,Grade IV l-!
L0390,khwy,1khwy4,V,31,1,30,kh,w,y,,,,IV,,
L0391,le,2le4,IX,37,2,33,l,,e,,,,IV,,Grade IV l-!
L0392,lhen,1lhen4,IX,43,1,42,lh,,e,,n,,IV,,
L0393,ni,2niq4,III,70,2,60,n,,i,q,,,IV,,
